directory_n,name,homepage_url,category,check_code,language,activate,notes
161,Tagesschau,https://www.tagesschau.de/,international,A,en,false,German; public-service news
162,Die Welt,https://www.welt.de/,international,A,en,false,German; sightings and explanations
163,El País,https://elpais.com/,international,A,en,false,Spanish and English; news and features
164,RTVE,https://www.rtve.es/,international,A,en,false,Spanish; public-service news and documentaries
165,Infobae,https://www.infobae.com/tag/ovni/,international,A,en,true,Spanish; OVNI topic page
166,Clarín,https://www.clarin.com/,international,A,en,false,Spanish; Argentine and international coverage
167,La Nación,https://www.lanacion.com.ar/,international,A,en,false,Spanish; Argentine and international coverage
168,El Universal,https://www.eluniversal.com.mx/tag/ovni/,international,A,en,true,Spanish; Mexican OVNI topic page
169,El Tiempo,https://www.eltiempo.com/,international,A,en,false,Spanish; Colombian coverage and blogs
170,BioBioChile,https://www.biobiochile.cl/,international,A,en,false,Spanish; Chilean UFO coverage
171,Emol,https://www.emol.com/,international,A,en,false,Spanish; Chilean coverage and UFO archive
172,G1,https://g1.globo.com/,international,C,en,false,Portuguese; Brazilian news and fact-checking
173,South China Morning Post,https://www.scmp.com/topics/ufos-and-extraterrestrial-life,international,A,en,true,English; UFO and extraterrestrial-life section
174,The Japan Times,https://www.japantimes.co.jp/tag/ufo,international,A,en,true,English; UFO topic archive
175,Kyodo News,https://english.kyodonews.net/,international,C,en,false,English and Japanese; Japanese wire service
176,The Korea Times,https://www.koreatimes.co.kr/topic/ufo/list,international,A,en,true,English; UFO topic page
177,Taipei Times,https://www.taipeitimes.com/,international,A,en,false,English; Taiwanese and syndicated coverage
178,NDTV,https://www.ndtv.com/topic/ufo,international,A,en,true,English; substantial UFO topic archive
179,Times of India,https://timesofindia.indiatimes.com/,international,A,en,false,English; frequent UFO reporting and video
180,Hindustan Times,https://www.hindustantimes.com/,international,A,en,false,English; international UFO coverage
181,The Indian Express,https://indianexpress.com/,international,A,en,false,English; Indian and international reporting
182,The News International,https://www.thenews.com.pk/,international,A,en,false,English; Pakistani outlet with UFO coverage
183,IOL,https://iol.co.za/,international,A,en,false,English; South African UFO coverage
184,The Daily Star (Bangladesh),https://www.thedailystar.net/,international,A,en,false,English; international UFO news
185,Eurasia Review,https://www.eurasiareview.com/,international,C,en,false,Occasional UAP analysis and contributed articles
186,8 News Now / KLAS,https://www.8newsnow.com/,local,C,en,false,Las Vegas; George Knapp and UFO reporting
187,Las Vegas Review-Journal,https://www.reviewjournal.com/,local,A,en,false,"Nevada, Area 51 and UFO coverage"
188,KTLA,https://ktla.com/,local,D,en,false,Southern California sightings and national coverage
189,Arizona Republic / azcentral,https://www.azcentral.com/,local,D,en,false,Arizona cases and Phoenix Lights
190,KSL,https://www.ksl.com/,local,A,en,false,Utah and national UFO coverage
191,Deseret News,https://www.deseret.com/,local,A,en,false,"Utah, national policy and UFO coverage"
192,SFGATE,https://www.sfgate.com/,local,C,en,false,California sightings and historical cases
193,WOSU,https://www.wosu.org/,local,A,en,false,Ohio public-radio discussions
194,WBLM,https://wblm.com/,local,A,en,false,Maine sighting stories
195,WROK,https://1440wrok.com/,local,A,en,false,Illinois sighting stories
196,WDTV,https://www.wdtv.com/,local,A,en,false,West Virginia UFO events and regional news
197,FOX 13 Tampa Bay,https://www.fox13news.com/,local,A,en,false,UFO interviews and news
198,ABC7 New York,https://abc7ny.com/,local,A,en,false,Local and national UFO coverage
199,NBC10 Philadelphia,https://www.nbcphiladelphia.com/,local,A,en,false,National and regional UFO coverage
200,Dallas Express,https://dallasexpress.com/,local,A,en,false,Occasional UAP policy reporting
201,FOX 10 Phoenix,https://www.fox10phoenix.com/,local,A,en,false,Arizona sightings and national UFO coverage
202,KTVU FOX 2,https://www.ktvu.com/,local,A,en,false,Bay Area and national UFO coverage
203,NPR Illinois,https://www.nprillinois.org/,local,A,en,false,Public-radio reporting and syndicated UFO analysis
204,Minot Daily News,https://www.minotdailynews.com/,local,A,en,false,North Dakota military-sighting history and news
205,Discover Moose Jaw,https://www.discovermoosejaw.com/,local,C,en,false,Saskatchewan regional reporting; occasional UFO research coverage
206,MUFON,https://mufon.com/,primary,A,en,true,"Investigations, case summaries and organizational news"
207,National UFO Reporting Center (NUFORC),https://nuforc.org/,primary,A,en,true,"Witness reports, case database and updates"
208,Scientific Coalition for UAP Studies,https://www.explorescu.org/,primary,A,en,true,Research papers and conference updates
209,Sol Foundation,https://thesolfoundation.org/,primary,A,en,true,"Research, policy papers and recorded talks"
210,Americans for Safe Aerospace,https://www.safeaerospace.org/,primary,B,en,true,"Pilot testimony, advocacy and updates"
211,UAPx,https://www.uapexpedition.org/,primary,A,en,true,Instrumented investigations and research updates
212,NARCAP,https://www.narcap.org/,primary,B,en,true,Aviation incident research and technical reports
213,UFO-Sverige,https://www.ufo.se/,primary,A,sv,true,"Swedish UFO research, news and publications"
214,Centro Italiano Studi Ufologici (CISU),https://www.cisu.org/,primary,A,it,true,Italian UFO research and news
215,Centro Ufologico Nazionale (CUN),https://www.cun-italia.com/,primary,A,it,true,Italian UFO research and news
216,British UFO Research Association (BUFORA),https://www.bufora.org.uk/,primary,A,en,true,UK investigations and research archive
217,UFO Research NSW,https://www.ufor.asn.au/,primary,A,en,true,"Australian research, articles and events"
218,GEIPAN / CNES,https://www.geipan.fr/,primary,B,fr,true,French government case investigations and releases
219,AARO,https://www.aaro.mil/,primary,A,en,true,"US government reports, cases and releases"
220,NASA UAP,https://science.nasa.gov/uap/,primary,A,en,true,Scientific-study information and official updates
221,US National Archives,https://www.archives.gov/research/topics/uaps,primary,A,en,true,UFO/UAP records and release notices
222,Paradigm Research Group,https://www.paradigmresearchgroup.org/,primary,B,en,true,Disclosure advocacy and historical media index
