podcast_id,podcast_name,aliases,host_names,network_producer,country,launch_date,date_precision,status,cadence,avg_length_min,focus_tags,reach_tier,category,primary_url,feed_url,apple_lookup,youtube_url,feed_discovery_status,notable_recurring_guests,notes,confidence,last_verified
POD-021,UAP Unidentified Alien Podcast,UAP Podcast (WFTL),Stephen Diener,Hubbard Podcasts / 850 WFTL,US,2021-07,month,active,weekly,54,uap|news|interviews|radio,tier2_established,uap_core,https://www.850wftl.com/podcasts/uap-unidentified-alien-podcast/,,itunes:1575781850,https://www.youtube.com/@850wftlwpb,observed_apple_id,Avi Loeb|James Fox,Commercial-radio backed UAP show,high,2026-09-14
POD-022,UAP Files Podcast,UAP Files,Jimmy (UAP Files),UAP Files,UK,2024-04,month,active,weekly,32,uap|news|analysis|substack,tier2_established,uap_core,https://open.spotify.com/show/35xbsPIEGls8y9K80cKGOG,,itunes:1741618111,https://www.youtube.com/channel/UCOuk7OJifkj3mVzsWuVoiPA,observed_apple_id,Samuel Chong|Philip Mantle,Podcast plus a companion Substack newsletter,high,2026-09-14
POD-023,Down to Earth with Kristian Harloff,UAP NEWS,Kristian Harloff,Independent,US,2024-02,month,active,near-daily,14,uap|news|commentary,tier2_established,uap_core,https://open.spotify.com/show/759WNNHAMe5tAvg9yuuvbr,,itunes:1733797869,,observed_apple_id,James Fox|Palmer Luckey,Entertainment-media host covering UAP for a general audience,high,2026-09-14
POD-024,Strange Arrivals,,Toby Ball,Grim & Mild (Aaron Mahnke),US,2020-02,month,active,seasonal,28,abduction|history|narrative_documentary,tier2_established,narrative_documentary,https://www.grimandmild.com/strangearrivals,,,,,,Narrative/documentary series; season 1 covered the Betty and Barney Hill case,high,2026-09-14
POD-025,Hysteria 51,,Brent Hand|David Flora|John Goforth,ForthHand Media,US,2016-09,month,active,weekly,49,uap|paranormal|comedy|case_studies,tier2_established,comedy_adjacent,https://redcircle.com/shows/hysteria-51,,,,,,Comedy-inflected weekly deep dives,high,2026-09-14
POD-026,UFO Chronicles Podcast,,Nik Hunter,Independent,UK,2019-02,month,active,weekly,79,witness_accounts|abduction|paranormal|first_person,tier2_established,witness_testimony,https://www.spreaker.com/podcast/ufo-chronicles-podcast--3395068,,,,,,First-person witness narration format,high,2026-09-14
POD-027,UFO? UAP? WTF?,UNKNOWN (former name),Jason McClellan,Rogue Planet,US,2015-11,month,active,monthly,20,uap|news|responsible_skepticism,tier3_niche,uap_core,https://www.ufouapwtf.com/,,,,,,Host is a former Open Minds/Hangar 1 TV personality,high,2026-09-14
POD-028,The Saucer Life,,Aaron Gylus,Cheeso Media LLC,US,2017-08,month,active,biweekly,47,history|contactees|folklore|men_in_black,tier3_niche,history_culture,https://saucerlife.com/,,,,,,History-of-ufology focus rather than breaking news,high,2026-09-14
POD-029,hidden experience audio,Hidden Experience,Mike Clelland,Independent,US,2010,year,active,monthly,78,experiencers|owls|synchronicity|contact,tier3_niche,experiencer,https://open.spotify.com/show/389xS095h0og3tr80pst7c,,,,,,Host is the author of The Messengers,high,2026-09-14
POD-030,Shifting the Paradigm / Strange and Unexplained,Cristina Gomez show,Cristina Gomez,Paradigm Shifts,US,2021-08,month,active,multiple weekly,11,uap|news|case_studies|interviews,tier2_established,uap_core,https://paradigmshifts.blog/,,,,,,Four programs per week; military witness and insider interviews,high,2026-09-14
POD-031,UAP Crossfire,,Don Ecker|Dan Carlson|Chris DePerno,KGRA Digital Broadcasting,US,2023-11,month,active,weekly,115,uap|panel_debate|news,tier3_niche,panel,https://open.spotify.com/show/5uiM8mmsYwM59vu7FkGe07,,,,,,Panel format including a MUFON state director and a UFO historian,high,2026-09-14
POD-032,The Files of the Disclosure Agency,FDA,Victor Viggiani,ZlandCommunications NewsNetwork,CA,2020-12,month,active,irregular,41,disclosure_policy|geopolitics|interviews,tier3_niche,uap_core,https://open.spotify.com/show/5w3EUYnXRm6anPa13WTwcj,,,,,,Canadian disclosure-advocacy journalism,high,2026-09-14
POD-033,Disclosure Team,,Vinnie Adams,Independent,AU,2021-09,month,active,weekly,59,uap|insiders|experiencers|international,tier3_niche,uap_core,https://open.spotify.com/show/5NkC3aeLjtcbqdy0Wbf7dR,,,,,Brian Jackson|Bart Sibrel,Australia-based interview show,high,2026-09-14
POD-034,UFO and ET 101,,Sev Tok,Planet Sev,US,2025-04,month,active,weekly,18,primer|whistleblowers|experiencers|education,tier3_niche,uap_core,https://open.spotify.com/show/1JskqNTVb7Gc5i7auyw04J,,,,,Jake Barber|Luis Elizondo,Explainer-format show for newcomers,high,2026-09-14
POD-035,WTUFO,,Caleb Mayo,Spacefare,US,2024-06,month,active,weekly,49,uap|science|researchers|experiencers,tier3_niche,uap_core,https://open.spotify.com/show/7bMyBjdHXePsWaEn5ODyv3,,,,,Jordan Flowers,Science-leaning independent show,high,2026-09-14
POD-036,Coffee & UFOs,,Alan B. Smith,Paranormal Now,US,2019-10,month,active,weekly,62,uap|researchers|witnesses|evidence,tier3_niche,uap_core,https://www.spreaker.com/podcast/coffee-ufos--4099377,,,,,Stephen Bassett|Chris Johnston,Conversational evidence-driven interviews,high,2026-09-14
POD-037,UFO Headquarters,,Linda Zimmermann|Michael J. Worden,Hudson River Radio,US,2019,year,active,weekly,48,hudson_valley|regional_cases|close_encounters,tier3_niche,regional,https://www.spreaker.com/podcast/ufo-headquarters--3321538,,,,,,Focused on the Hudson Valley wave and NY-area cases,high,2026-09-14
POD-038,UFO Encounters World-Wide,,Jesse Peak,MUFON Pennsylvania,US,2021,year,active,weekly,52,mufon|witnesses|news|regional,tier3_niche,org_affiliated,https://open.spotify.com/show/7MF3qYwUD6Unqs7vsQ926w,,,,,,Host is a MUFON state section director in Pennsylvania,high,2026-09-14
POD-039,Beyond Contact,,Captain Ron,iHeartPodcasts,US,2024-05,month,active,weekly,41,uap|researchers|science|ufology,tier3_niche,uap_core,https://open.spotify.com/show/72t1NN1MAnZvdcIpnNvdPK,,,,,Mark Christopher Lee|Dave Rich,Network-backed interview show,high,2026-09-14
POD-040,European UFOs,,Sebastian (European UFOs),European UFOs,EU,2023-05,month,active,monthly,67,europe|regional_cases|researchers,tier3_niche,regional,https://zencastr.com/European-UFOs,,,,,,Counterweight to US-centric coverage,high,2026-09-14
POD-041,The Close Encounters Podcast,,Christopher McMurray,Northern Ireland UFO Society,UK,2023-01,month,active,monthly,69,regional|ireland|paranormal|ufology,tier3_niche,regional,https://the-close-encounters-podcast.simplecast.com/,,,,,,Official podcast of the Northern Ireland UFO Society,high,2026-09-14
POD-042,UFO Garage Podcast,,Joe Strelsky|Ben Jinkins,Dem Boiz,US,2019-06,month,active,weekly,106,uap|paranormal|casual|interviews,tier3_niche,comedy_adjacent,https://www.spreaker.com/podcast/ufo-garage-podcast--3567027,,,,,,Long-form casual format,high,2026-09-14
POD-043,Are UFO Real?,,"Grant Williams|Tom Delonge (co-host, not the musician)",Independent,US,2019-10,month,active,weekly,76,uap|case_reviews|armchair_research,tier3_niche,uap_core,https://are-ufo-real.simplecast.com/,,,,,,NOTE: co-host name collides with musician Tom DeLonge; verify identity before tagging,low,2026-09-14
POD-044,Dear People of Earth,UAPMax,Steve Sprague,UAPMax,US,2023-09,month,active,weekly,82,uap|physics|science|sensors,tier3_niche,science,https://open.spotify.com/show/1TRtrfRFzVdpEpTJO0AwYa,,,,,,Science and detection-technology angle,high,2026-09-14
POD-045,UAP as NHI: Probability vs. Certainty,,Bill Sego,Independent,US,2024-10,month,active,irregular,67,philosophy|epistemology|nhi|logic,tier3_niche,academic_philosophy,https://open.spotify.com/show/7bzFGNMWyGyUqxgf6z2guJ,,,,,Tim Lomas|Brendan Case,Philosophical/probabilistic framing of the NHI question,high,2026-09-14
POD-046,Fortean Winds,,Fortean Winds collective (RamX),Fortean Winds,US,2023-03,month,active,irregular,38,data_analysis|high_strangeness|research,tier3_niche,analysis,https://www.forteanwinds.com/,,,,,,Collective of data and research professionals,high,2026-09-14
POD-047,UFO Talker,,Michael Ryan|Christine Scott,Independent,CA,2022-09,month,active,weekly,70,uap|sightings|interviews,tier3_niche,uap_core,https://www.ufotalker.ca/podcast,,,,,,Canadian sightings-focused show,high,2026-09-14
POD-048,Others From Another Mother,OFAM,Dan Cleary|Chad Shlosser,Independent,US,2024-10,month,active,weekly,70,uap|arts|culture|new_voices,tier3_niche,culture,https://open.spotify.com/show/2oCNv3sF8Y0GNfrYJGSFZ0,,,,,,Brings music/film voices into the UAP conversation,high,2026-09-14
POD-049,UFOs - On The Level,,Jon Majerowski,Independent,US,2021-03,month,active,irregular,98,uap|opinion|community,tier3_niche,uap_core,https://open.spotify.com/show/7DBo6ZGh0FDtRfFFOybwGx,,,,,John Gilbert|Jay Anderson,Long-form opinion and interview show,high,2026-09-14
POD-050,UFO - Extraterrestrial Reality,QuirkZone,James Quirk,Independent,US,2021-12,month,active,weekly,37,uap|journalism|interviews,tier3_niche,uap_core,https://open.spotify.com/show/4DxSG1jjl1gPnF6xYrU2Cz,,,,,Nick Pope|Richard Barth,Reporter-hosted interview show,high,2026-09-14
POD-051,The Tempest Universe,,Manny Sifonte,The Dark Horde Network,US,2016,year,active,weekly,60,uap|nhi|conspiracy|news,tier3_niche,uap_core,https://www.thetempestuniverse.com/,,,,,,Part of the Dark Horde Network,high,2026-09-14
POD-052,The 'X' Zone UFO Files,X Zone,Rob McConnell,The 'X' Zone Broadcast Network,CA,2020-10,month,active,irregular,57,experiencers|contactees|abductees|archive,tier3_niche,archive,https://www.spreaker.com/podcast/the-x-zone-ufo-files--4602671,,,,,,Spin-off of a long-running paranormal radio network,high,2026-09-14
POD-053,UAP Insight Podcast,,Ray Hardy,Independent,US,2025-01,month,active,irregular,66,uap|research|experiencers,tier3_niche,uap_core,https://open.spotify.com/show/1xBJon3an5FizoSbkO2zxO,,,,,Jason Sands|Jason Albertson,Features both known and first-time voices,high,2026-09-14
POD-054,UFO Focus,,Isaiah Thompson,Independent,US,2024-06,month,active,irregular,25,journalism|uap|investigation,tier3_niche,journalism,https://open.spotify.com/show/1FqGrezhMeUAkcot0dz9lr,,,,,,Journalist-hosted inquiry series,high,2026-09-14
POD-055,UFOs and Aliens / Aliens and UFOs / Alien Podcast (TruthSeekah network),TruthSeekah shows,Derek William Grosskurth (TruthSeekah),Mystic Circle,US,2020-12,month,active,weekly,108,contactees|experiencers|spirituality|abduction,tier3_niche,experiencer,https://www.spreaker.com/podcast/ufos-and-aliens--4706664,,,,,Caroline Cory|Nathaniel Gillis|Paul Wallis,Several overlapping feeds run by the same host; deduplicate on ingest,high,2026-09-14
POD-056,The Joe Rogan Experience,JRE,Joe Rogan,Spotify,US,2009-12,month,active,near-daily,180,general_interest|uap_episodes|longform,tier1_mainstream,mainstream_adjacent,https://www.joerogan.com/,,itunes:360084272,,observed_apple_id,Jesse Michels|Jay Anderson|Bob Lazar|Jeremy Corbell|Luis Elizondo,Largest audience vector for UAP figures entering mainstream discourse,high,2026-09-14
POD-057,Coast to Coast AM,C2C,"George Noory (Art Bell, founder)",Premiere Networks / iHeartMedia,US,1988,year,active,nightly,240,paranormal|uap|contactees|open_lines,tier1_mainstream,legacy_radio,https://www.coasttocoastam.com/,,,,,Linda Moulton Howe|Whitley Strieber|Richard Dolan,Founded by Art Bell; the historical mass-audience pipeline for UFO discourse,medium,2026-09-14
POD-058,Dreamland,Whitley Strieber's Dreamland|Unknown Country,Whitley Strieber,Unknown Country,US,1999,year,active,weekly,60,experiencers|contact|visitors|esoteric,tier2_established,experiencer,https://www.unknowncountry.com/dreamland/,,,,,,Hosted by the author of Communion,medium,2026-09-14
POD-059,Fade to Black,FTB,Jimmy Church,KGRA / Game Changer Network,US,2013,year,active,nightly weekdays,120,uap|conspiracy|lost_history|paranormal,tier2_established,legacy_radio,https://www.jimmychurchradio.com/,,,,,,Nightly live call-in style broadcast,medium,2026-09-14
POD-060,Theories of Everything with Curt Jaimungal,TOE,Curt Jaimungal,Independent,CA,2020,year,active,multiple weekly,150,physics|consciousness|uap_episodes|longform,tier1_mainstream,mainstream_adjacent,https://curtjaimungal.org/,,,https://www.youtube.com/@TheoriesofEverything,youtube_first,Garry Nolan|Jacques Vallee|Hal Puthoff,Physics/philosophy channel that hosts serious UAP science conversations,medium,2026-09-14
POD-061,Danny Jones Podcast,Koncrete,Danny Jones,Independent,US,2020,year,active,weekly,150,longform|uap|intelligence|fringe,tier1_mainstream,mainstream_adjacent,https://www.youtube.com/@DannyJones,,,,,,Frequent host of UAP whistleblowers and researchers,low,2026-09-14
POD-062,Shawn Ryan Show,SRS,Shawn Ryan,Independent,US,2020,year,active,weekly,180,military|intelligence|uap_episodes|longform,tier1_mainstream,mainstream_adjacent,https://shawnryanshow.com/,,,,,,Special-operations and intelligence audience; periodic UAP episodes,low,2026-09-14
POD-063,The Why Files,,AJ Gentile (Hecklefish),The Why Files,US,2021,year,active,weekly,40,uap|conspiracy|explainer|entertainment,tier1_mainstream,mainstream_adjacent,https://thewhyfiles.com/,,,https://thewhyfiles.com/,youtube_first,,Mass-audience explainer channel; major top-of-funnel for UAP topics,medium,2026-09-14
POD-064,Tales From the Rabbit Hole,,Mick West,Metabunk,US,2020,year,active,irregular,60,skeptic|debunking|video_analysis|methodology,tier3_niche,skeptic,https://www.metabunk.org/,,,,,,The principal skeptical-analysis podcast in the space,medium,2026-09-14
POD-065,The Basement Office,,Steven Greenstreet,New York Post,US,2019,year,active,irregular,30,journalism|skeptic_leaning|investigation|history,tier2_established,media_outlet,https://nypost.com/,,,,,,Newspaper-backed video series; often adversarial toward disclosure claims,medium,2026-09-14
POD-066,The Richard Dolan Show,,Richard Dolan,Richard Dolan Press,US,2019,year,active,weekly,90,history|national_security_state|analysis|disclosure,tier2_established,uap_core,https://richarddolanpress.com/,,,,,,Historian-led analysis program,medium,2026-09-14
POD-067,UFO Classified,,Erica Lukes,KCOR Digital Radio,US,2018,year,active,weekly,60,research|case_files|documents|interviews,tier3_niche,uap_core,https://kcorradio.com/,,,,,,Research-heavy interview show,low,2026-09-14
POD-068,Mysterious Universe,MU,Benjamin Grundy|Aaron Wright,8th Kind,AU,2006,year,active,weekly,75,paranormal|uap|fortean|science,tier2_established,paranormal_adjacent,https://mysteriousuniverse.org/,,,,,,Long-running Australian fortean podcast,medium,2026-09-14
POD-069,Julian Dorey Podcast,,Julian Dorey,Independent,US,2020,year,active,weekly,150,longform|uap_episodes|intelligence|crime,tier1_mainstream,mainstream_adjacent,https://www.youtube.com/@JulianDorey,,,,,,Renamed during reconciliation from 'Jesse Michels / Julian Dorey crossover tier: Julian Dorey Podcast'. Frequent UAP-adjacent long-form interviews,low,2026-09-14
POD-070,Lex Fridman Podcast,,Lex Fridman,Independent,US,2018,year,active,weekly,180,science|ai|occasional_uap|longform,tier1_mainstream,mainstream_adjacent,https://lexfridman.com/podcast/,,,,,,Occasional UAP-related episodes; verify guest list per episode before tagging,low,2026-09-14
POD-071,UFO WARNING,,UFO Warning (anonymous),Independent,US,2018-08,month,active,weekly,30,uap|news|sightings,tier2_established,uap_core,https://www.youtube.com/c/UFOWARNING,,,,,,Anonymous host; news and sightings aggregation,medium,2026-09-14
POD-072,We Want To Believe,WWTB,Jessica Borglum|Dane Borglum,Independent,US,2019,year,active,weekly,49,uap|paranormal|folklore|casual,tier3_niche,comedy_adjacent,https://wwtbpod.libsyn.com/website,,,,,,Husband-and-wife duo,high,2026-09-14
POD-073,ABQ UFOs,,ABQ UFOs team,abqufos,US,2021,year,active,monthly,72,new_mexico|regional|researchers|experiencers,tier3_niche,regional,https://abqufos.podbean.com/,,,,,,Albuquerque/New Mexico regional group,high,2026-09-14
POD-074,UAP Investigates,,Undisclosed,Independent,US,2025,year,active,seasonal,45,narrative_documentary|investigation|case_series,tier3_niche,narrative_documentary,https://podcasts.apple.com/us/podcast/uap-investigates/id1839945561,,,,,,Serial-style season-based investigative series,medium,2026-09-14
POD-075,The UFO Timeline Project Podcast,,Micha Verg|Victoria Bakken,UFOTimelineProject.com,US,2025,year,active,irregular,18,history|timeline|case_files,tier3_niche,history_culture,https://open.spotify.com/show/1TeOUFrNAywMJ161NQagDz,,,,,,Companion to a case-timeline website,medium,2026-09-14
POD-076,Matt Beall Limitless,Matt Beall Podcast,Matt Beall,Independent,US,2024,year,active,weekly,150,longform|uap|ancient_mysteries|consciousness,tier2_established,mainstream_adjacent,https://www.youtube.com/@MattBeallPodcast,,,,,Jay Anderson,"Long-form interviews spanning UAP, consciousness and ancient history",medium,2026-09-14
POD-077,SNX Radio,SUBN8IONX,Coley Weber,SNX Radio,US,2025,year,active,three nights weekly,90,experiencers|contact|paranormal|live_radio,tier3_niche,experiencer,https://www.spreaker.com/podcast/snx-radio--6277496,,,,,Jay Anderson,Live experiencer-focused talk radio launched in 2025,medium,2026-09-14
POD-078,Up The Vibe,,Joseph Hodgson,Up The Vibe,UK,2021,year,active,weekly,110,uap|contact|consciousness|interviews,tier3_niche,uap_core,https://www.upthevibe.uk/,,,,,Jay Anderson|Paul Hamden|Preston Dennett,UK interview show; frequent crossover with other UAP podcast hosts,medium,2026-09-14
